type|id|name|dob|nationality
engineer|10000|Evelyn Oneal|03/16/1915|Heard Island and Mcdonald Islands
sailor|10001|Stephen Noel|02/17/1948|Sao Tome and Principe
captain|10002|Craig Meyers|02/24/1945|Jordan
cook|10003|Donna Molina|09/04/1970|Maldives
cook|10004|Jolene Howard|01/24/2010|Lesotho
engineer|10005|Lars Stokes|01/10/2005|Lesotho
sailor|10006|Zoe Mcclure|03/25/1961|Cook Islands
cook|10007|Vivian Jenkins|08/03/1930|South Georgia and The South Sandwich Islands
sailor|10008|Kelly Kirk|10/15/2014|Philippines
captain|10009|Autumn Crawford|03/16/1983|Moldova
cook|10010|Libby Lambert|06/16/1943|Gabon
doctor|10011|Valentine Fry|03/31/1941|New Zealand
doctor|10012|Tamekah Kelly|04/11/2013|Germany
doctor|10013|Brielle Benson|07/12/1927|Tuvalu
cook|10014|Deborah Mckenzie|07/20/2003|Liberia
cook|10015|Macaulay Jennings|01/09/1992|Cameroon
doctor|10016|Cassady Gomez|11/19/1998|Korea, North
doctor|10017|Celeste Roth|05/08/1976|Togo
engineer|10018|Rose Delacruz|05/16/1991|Czech Republic
cook|10019|Martha Dean|07/07/1967|Jersey
cook|10020|Quon Blair|07/12/1986|El Salvador
cook|10021|Keane Stark|07/17/1938|Cayman Islands
cook|10022|Igor Ratliff|06/09/1928|Cook Islands
engineer|10023|Cedric Jones|04/16/1958|Angola
doctor|10024|Coby Chen|12/13/1966|Puerto Rico
sailor|10025|Nasim Morton|06/23/2015|Armenia
doctor|10026|Lysandra Bowen|12/23/1927|Latvia
engineer|10027|Kirk Knox|12/01/1931|Saudi Arabia
sailor|10028|Xena Emerson|08/04/1929|Tonga
captain|10029|Eliana Rivera|09/13/2005|Greece
sailor|10030|Martena Acevedo|10/06/1994|Zambia
sailor|10031|Gage Peck|07/15/1921|Armenia
doctor|10032|Hashim Tran|08/16/1953|Qatar
sailor|10033|Anjolie Ruiz|06/21/2001|Greece
captain|10034|Lillian Byers|05/18/1919|Liberia
doctor|10035|Jessamine Camacho|07/09/1995|Iraq
cook|10036|Griffith Watkins|04/03/1964|Bermuda
cook|10037|Chastity Patrick|10/26/1998|Antigua and Barbuda
cook|10038|Irene Rocha|11/06/1946|Tajikistan
sailor|10039|Carson Nolan|07/09/1956|Viet Nam
doctor|10040|Nola Rowland|05/10/1962|Maldives
cook|10041|Kellie Hubbard|03/22/1976|Marshall Islands
engineer|10042|Eleanor Little|10/05/2005|Finland
doctor|10043|Kato Black|12/14/1925|Suriname
engineer|10044|Francis Dennis|05/19/1950|Congo (Brazzaville)
doctor|10045|Larissa Medina|10/30/1958|Guinea-Bissau
cook|10046|Laith Landry|07/05/1941|American Samoa
doctor|10047|Forrest Mcdowell|05/17/1985|South Georgia and The South Sandwich Islands
cook|10048|Jillian Russell|10/05/1949|Germany
captain|10049|Tad Juarez|10/07/1919|Faroe Islands
engineer|10050|Buckminster Dunn|04/14/1917|United States
captain|10051|Xanthus Gray|09/24/1933|Laos
cook|10052|Jasmine Conrad|12/03/1934|Montserrat
cook|10053|Melvin Hull|09/16/1998|Falkland Islands
cook|10054|Raven West|09/18/1979|Svalbard and Jan Mayen Islands
sailor|10055|Noble Mckenzie|09/18/1940|Brazil
cook|10056|Tate Greer|10/23/1958|Aruba
engineer|10057|Cain Huber|02/22/1990|Montserrat
doctor|10058|Isadora Macdonald|09/28/1940|Madagascar
doctor|10059|Sierra Sawyer|06/06/1927|Mayotte
sailor|10060|Mariko Long|03/25/1925|Palestine, State of
captain|10061|Xavier Barker|06/19/1927|Mexico
doctor|10062|Laura Chen|01/13/1923|Laos
captain|10063|Clio Fernandez|07/16/1997|Korea, North
engineer|10064|Allistair Thomas|02/24/1963|South Sudan
engineer|10065|Amethyst Burgess|07/21/2011|Costa Rica
engineer|10066|Melissa Simmons|07/03/2004|Estonia
cook|10067|Cairo Crane|08/01/1925|Guinea-Bissau
doctor|10068|Wade Woods|10/16/1998|Cocos (Keeling) Islands
doctor|10069|Ariana Spencer|07/17/1983|New Zealand
engineer|10070|Shad Cobb|02/07/1944|Turks and Caicos Islands
doctor|10071|Catherine Blackburn|07/22/1927|Christmas Island
cook|10072|Morgan Nieves|05/26/1985|Cayman Islands
cook|10073|Harding Aguirre|01/27/2005|Slovakia
captain|10074|Hiram Valentine|05/03/2004|Antarctica
cook|10075|Julian Castaneda|08/07/1957|Senegal
cook|10076|Timothy Small|01/14/1968|Tonga
sailor|10077|Len Neal|10/01/1995|San Marino
cook|10078|Cameron Fitzgerald|12/03/1996|Aruba
doctor|10079|Chelsea Bender|08/13/1947|Armenia
cook|10080|Evan Mcclure|12/19/1942|Azerbaijan
engineer|10081|Joseph Hoffman|08/03/1942|Côte D'Ivoire (Ivory Coast)
cook|10082|Kareem Hampton|07/13/1994|Latvia
captain|10083|Rajah Strong|03/04/1962|Djibouti
doctor|10084|Jacob Mack|01/09/1970|Tajikistan
engineer|10085|Eagan Mooney|11/06/1980|American Samoa
doctor|10086|Jordan Beck|09/04/1944|Angola
cook|10087|Velma Payne|09/20/1936|Dominica
doctor|10088|Sacha Collins|02/22/1955|Suriname
doctor|10089|Caesar Gould|11/19/2007|Macao
engineer|10090|Xyla Buchanan|10/11/2003|British Indian Ocean Territory
engineer|10091|Keiko Calderon|01/31/1976|Cyprus
sailor|10092|Jemima Kidd|10/22/2008|Uzbekistan
engineer|10093|Oren Mcgee|01/19/1925|Tokelau
engineer|10094|Julian Hewitt|11/18/1978|Tuvalu
doctor|10095|Dante Cline|04/02/1919|Korea, North
captain|10096|Florence Bailey|01/04/1993|Honduras
sailor|10097|Mariko Galloway|05/08/1925|South Georgia and The South Sandwich Islands
sailor|10098|Sophia Webb|12/04/1998|Ghana
sailor|10099|Nigel Silva|04/14/2000|Swaziland
